Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,2519.303955,2519.303955,2492.452881,2506.385986,2506.311768,3330569000
2009-12-15,2505.592041,2510.289063,2481.696045,2494.737061,2494.662842,3573056800
2009-12-16,2495.047119,2523.190918,2482.437988,2522.544922,2522.470215,3961157600
2009-12-17,2522.646973,2542.503906,2505.972900,2509.575928,2509.501221,3394306400
2009-12-21,2508.964111,2509.377930,2415.346924,2431.388916,2431.316895,2853885000
2009-12-22,2432.218018,2468.785889,2432.218018,2467.636963,2467.563721,2342711000
2009-12-23,2467.841064,2476.572021,2456.212891,2474.883057,2474.809570,1932946000
2009-12-28,2475.086914,2512.224121,2475.086914,2509.691895,2509.617188,2369070400
2009-12-29,2511.264893,2520.863037,2504.865967,2518.993896,2518.919189,2212691000
2009-12-30,2520.303955,2534.355957,2519.009033,2534.355957,2534.280762,1986381600
2010-01-04,2533.947998,2576.055908,2532.895996,2575.413086,2575.336670,1833929600
2010-01-05,2575.616943,2606.069092,2575.616943,2605.277100,2605.199707,5704380400
2010-01-06,2605.480957,2622.115967,2587.709961,2603.297119,2603.219727,5156908400
2010-01-07,2603.500977,2611.603027,2570.272949,2586.895020,2586.818115,4551082000
2010-01-08,2586.792969,2614.535889,2583.846924,2614.370117,2614.292480,7372352000
2010-01-11,2615.607910,2649.197021,2615.607910,2632.204102,2632.125977,5289124400
2010-01-12,2632.305908,2659.976074,2623.773926,2659.551025,2659.471924,5749735200
2010-01-13,2657.903076,2657.903076,2623.460938,2632.872070,2632.793945,4268552800
2010-01-14,2633.582031,2661.927979,2633.582031,2645.180908,2645.102295,5312622000
2010-01-15,2646.752930,2655.805908,2638.355957,2647.090088,2647.011475,4764380000
2010-01-18,2645.441895,2648.924072,2629.907959,2642.548096,2642.469482,3086150400
2010-01-19,2642.354004,2666.572998,2640.177979,2666.071045,2665.991943,3276803000
2010-01-20,2666.577881,2689.774902,2655.000000,2667.266113,2667.187012,3699558400
2010-01-21,2664.658936,2664.658936,2621.360107,2638.382080,2638.303955,3243842000
2010-01-22,2636.961914,2636.961914,2580.167969,2610.340088,2610.262695,3669308000
2010-01-25,2609.730957,2609.730957,2575.962891,2597.860107,2597.782959,3366939200
2010-01-26,2597.353027,2608.739990,2568.948975,2578.415039,2578.338623,4214295600
